nome,lat,long
Rifugio Bozano,44.18542502841,7.29385857881
Rifugio Genova-Figari,44.16110600839,7.33423677989
Rifugio Franco Remondino,44.16341039146,7.29570194887
Rifugio Morelli-Buzzi,44.19132867438,7.31333040076
